0.0,0.04757139520312161,9.0,2.0,0.0
1.0,0.053583566317553157,15.0,8.0,0.0
2.0,0.05041639683816905,7.0,7.0,0.0
3.0,0.05168186664056118,5.0,27.0,0.0
4.0,0.05173256919366572,12.0,11.0,0.0
5.0,0.06422496180126021,11.0,7.0,0.0
6.0,0.06310674144923151,8.0,17.0,0.0
7.0,0.2952920575925224,11.0,4.0,1.0
8.0,0.06794685180204607,8.0,9.0,0.0
9.0,0.05359065298595289,8.0,21.0,2.0
10.0,0.05061981696858725,12.0,5.0,0.0
11.0,0.057980868205542886,12.0,7.0,0.0
12.0,0.263126811514363,8.0,0.0,1.0
13.0,0.07630446031391805,18.0,10.0,0.0
14.0,0.04779976901368011,9.0,9.0,0.0
15.0,0.04402467391908747,9.0,10.0,0.0
16.0,0.05411049117050692,10.0,3.0,0.0
17.0,0.042710498297930825,4.0,19.0,0.0
18.0,0.07393786016251695,12.0,3.0,0.0
19.0,0.053549126191212985,14.0,4.0,0.0
20.0,0.2668121350262193,11.0,23.0,1.0
21.0,0.042687927588502775,9.0,2.0,0.0
22.0,0.0944461883131342,18.0,15.0,0.0
23.0,0.044663782781072685,5.0,6.0,0.0
24.0,0.05578528828674276,11.0,7.0,0.0
25.0,0.13890354257909515,17.0,4.0,0.0
26.0,0.04965083042217476,6.0,6.0,0.0
27.0,0.17222825751413337,13.0,19.0,0.0
28.0,0.1287981316155629,14.0,0.0,0.0
29.0,0.04267605855172166,5.0,27.0,0.0
30.0,0.046873416844957765,12.0,8.0,0.0
31.0,0.0793331748149598,17.0,8.0,0.0
32.0,0.05162388616830497,14.0,4.0,0.0
33.0,0.125597788281492,10.0,11.0,0.0
34.0,0.32308341793886103,14.0,9.0,1.0
35.0,0.05238217918411366,11.0,21.0,0.0
